start,end,event_id,notes
9/27/2015 9:00:00,9/27/2015 16:00:00,w00,
10/27/2015 9:00:00,10/27/2015 16:00:00,w01,
11/9/2015 9:00:00,11/9/2015 16:00:00,w02,
11/19/2015 9:00:00,11/19/2015 16:00:00,w03,
11/20/2015 9:00:00,11/20/2015 16:00:00,w04,
12/9/2015 11:00:00,12/9/2015 15:00:00,w05,survey with Elizabeth Henry
1/28/2016 10:00:00,1/28/2016 14:00:00,w06,went out with Justin McNabb
2/2/2016 9:00:00,2/2/2016 14:00:00,w07,
2/14/2016 9:00:00,2/14/2016 14:00:00,w08,frozen valentines day survey
2/16/2016 14:00:00,2/16/2016 18:45:00,w09,meltwater survey with newest GPS tracks
2/23/2016 9:20:00,2/23/2016 12:50:00,w10,post-storm survey with Arik Tashie
3/4/2016 6:45:00,3/4/2016 7:45:00,w11,early large group survey
3/4/2016 8:45:00,3/4/2016 9:45:00,w12,second early large group survey